Lengua,Estado,Municipio,Localidad,HLI,Hombres,Mujeres,Latitud ,Longitud,Loc
náhuatl,Veracruz De Ignacio De La Llave,Chalma,alberto argüelles,,,,,,Alberto Argüelles
náhuatl,San Luis Potosí,Matlapa,alberto medina (la vega),,,,,,Alberto Medina (La Vega)
náhuatl,San Luis Potosí,Aquismón,alborada primera,,,,,,Alborada Primera
náhuatl,Guerrero,Teloloapan,alcholoa,,,,,,Alcholoa
náhuatl,Guerrero,Chilapa de Álvarez,alcozacan,,,,,,Alcozacán
náhuatl,Tabasco,Comalcalco,aldama,,,,,,Aldama
náhuatl,San Luis Potosí,Tancanhuitz,aldzulup,,,,,,Aldzulup
náhuatl,San Luis Potosí,Tancanhuitz,aldzulup poytzen,,,,,,Aldzulup Poytzen
náhuatl,Tlaxcala,Santa Cruz Tlaxcala,alejandro peña conde,,,,,,Alejandro Peña Conde
náhuatl,Veracruz De Ignacio De La Llave,Ixhuatlán de Madero,alfonso barragan,,,,,,Alfonso Barragán
náhuatl,Colima,Tecomán,alfonso cardenas,,,,,,Alfonso Cárdenas
náhuatl,Hidalgo,San Felipe Orizatlán,alfonso cravioto,,,,,,Alfonso Cravioto
náhuatl,Veracruz De Ignacio De La Llave,Álamo Temapache,alfredo v bonfil,,,,,,Alfredo V. Bonfil
náhuatl,Puebla,Vicente Guerrero,alhuaca,,,,,,Alhuaca
